Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	macrophageStep
ENSG00000004799	PDK4	 ,	"Pyruvate dehydrogenase kinase 4"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	5166	PDK4	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000005020	SKAP2	 RA70, SAPS, SCAP2, SKAP-HOM, SKAP55R,	"Src kinase associated phosphoprotein 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8935	SKAP2	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000005059	MCUB	 CCDC109B, FLJ20647,	"Mitochondrial calcium uniporter dominant negative subunit beta"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	55013	MCUB	LiverMacrophage,KupfferCells
ENSG00000005194	CIAPIN1	 Anamorsin, CIAE2,	"Cytokine induced apoptosis inhibitor 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	57019	CIAPIN1	TopGeneInFirstStep
ENSG00000005238	FAM214B	 bA182N22.6, FLJ11560, KIAA1539,	"Family with sequence similarity 214 member B"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	80256	FAM214B	LiverMacrophage,KupfferCells
ENSG00000005302	MSL3	 MSL3L1,	"MSL complex subunit 3"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10943	MSL3	KupfferCells
ENSG00000005483	KMT2E	 HDCMC04P, MLL5,	"Lysine methyltransferase 2E (inactive)"	"Disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	55904	KMT2E	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000005801	ZNF195	 ,	"Zinc finger protein 195"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7748	ZNF195	TF
ENSG00000005844	ITGAL	 CD11A, LFA-1,	"Integrin subunit alpha L"	"CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	3683	ITGAL	FunctionGene
ENSG00000005889	ZFX	 ZNF926,	"Zinc finger protein X-linked"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7543	ZFX	TF
ENSG00000006015	REX1BD	 C19orf60, FLJ20850, FLJ30108, FLJ34606, FLJ37391,	"Required for excision 1-B domain containing"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	55049	REX1BD	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000006062	MAP3K14	 FTDCR1B, HS, HSNIK, NIK,	"Mitogen-activated protein kinase kinase kinase 14"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9020	MAP3K14	FunctionGene
ENSG00000006125	AP2B1	 ADTB2, CLAPB1,	"Adaptor related protein complex 2 subunit beta 1"	"Cancer-related genes, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	163	AP2B1	LiverMacrophage,KupfferCells
ENSG00000006194	ZNF263	 FPM315, ZKSCAN12, ZSCAN44,	"Zinc finger protein 263"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	10127	ZNF263	TF
ENSG00000006327	TNFRSF12A	 CD266, FN14, TweakR,	"TNF receptor superfamily member 12A"	"Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	51330	TNFRSF12A	FunctionGene
ENSG00000006534	ALDH3B1	 ALDH7,	"Aldehyde dehydrogenase 3 family member B1"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	221	ALDH3B1	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000006576	PHTF2	 DKFZp434D166,	"Putative homeodomain transcription factor 2"	"Predicted membrane proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	57157	PHTF2	LiverMacrophage
ENSG00000007237	GAS7	 KIAA0394, MGC1348,	"Growth arrest specific 7"	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8522	GAS7	KupfferCells
ENSG00000007255	TRAPPC6A	 HSPC289, MGC2650, TRS33,	"Trafficking protein particle complex 6A"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	79090	TRAPPC6A	LiverMacrophage,KupfferCells
ENSG00000007312	CD79B	 B29, IGB,	"CD79b molecule"	"Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	974	CD79B	FunctionGene
ENSG00000007944	MYLIP	 IDOL, MIR,	"Myosin regulatory light chain interacting protein"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	29116	MYLIP	LiverMacrophage,KupfferCells
ENSG00000008083	JARID2	 JMJ,	"Jumonji and AT-rich interaction domain containing 2"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	3720	JARID2	KupfferCells
ENSG00000008130	NADK	 FLJ13052,	"NAD kinase"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	65220	NADK	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000008394	MGST1	 GST12, MGST-I,	"Microsomal glutathione S-transferase 1"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	4257	MGST1	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000008513	ST3GAL1	 SIAT4A, SIATFL, ST3GalA.1, ST3O,	"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	6482	ST3GAL1	LiverMacrophage
ENSG00000008517	IL32	 NK4, TAIF, TAIFb, TAIFd,	"Interleukin 32"	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	9235	IL32	FunctionGene,KupfferCells
ENSG00000009790	TRAF3IP3	 T3JAM,	"TRAF3 interacting protein 3"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	80342	TRAF3IP3	TopGeneInFirstStep
ENSG00000009844	VTA1	 C6orf55, HSPC228, My012,	"Vesicle trafficking 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51534	VTA1	TopGeneInFirstStep
ENSG00000010270	STARD3NL	 MENTHO, MGC3251,	"STARD3 N-terminal like"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	83930	STARD3NL	LiverMacrophage
ENSG00000010278	CD9	 BA2, MIC3, MRP-1, P24, TSPAN29,	"CD9 molecule"	"Cancer-related genes, CD markers, Plasma proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	928	CD9	CancerDExpr
ENSG00000010322	NISCH	 I-1, IRAS, KIAA0975,	Nischarin	"FDA approved drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	11188	NISCH	KupfferCells
ENSG00000010539	ZNF200	 ,	"Zinc finger protein 200"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7752	ZNF200	TF
ENSG00000010610	CD4	 ,	"CD4 molecule"	"CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	920	CD4	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000010671	BTK	 AGMX1, ATK, IMD1, PSCTK1, XLA,	"Bruton tyrosine kinase"	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	695	BTK	FunctionGene,LiverMacrophage,KupfferCells
ENSG00000010704	HFE	 HFE1, HLA-H,	"Homeostatic iron regulator"	"Disease related genes, Human disease related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3077	HFE	FunctionGene,LiverMacrophage
ENSG00000010810	FYN	 MGC45350, SLK, SYN,	"FYN proto-oncogene, Src family tyrosine kinase"	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2534	FYN	FunctionGene,KupfferCells
ENSG00000011009	LYPLA2	 APT-2,	"Lysophospholipase 2"	"Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	11313	LYPLA2	TopGeneInFirstStep
ENSG00000011198	ABHD5	 CGI-58, NCIE2,	"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51099	ABHD5	LiverMacrophage,KupfferCells
ENSG00000011243	AKAP8L	 HAP95, NAKAP95,	"A-kinase anchoring protein 8 like"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26993	AKAP8L	TF
ENSG00000011405	PIK3C2A	 PI3K-C2alpha,	"Phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha"	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5286	PIK3C2A	LiverMacrophage
ENSG00000011422	PLAUR	 CD87, UPAR, URKR,	"Plasminogen activator, urokinase receptor"	"Cancer-related genes, CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	5329	PLAUR	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000011600	TYROBP	 DAP12, KARAP, PLO-SL, PLOSL,	"Transmembrane immune signaling adaptor TYROBP"	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	7305	TYROBP	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000012061	ERCC1	 RAD10,	"ERCC excision repair 1, endonuclease non-catalytic subunit"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2067	ERCC1	TopGeneInFirstStep,KupfferCells
ENSG00000012660	ELOVL5	 dJ483K16.1, HELO1, SCA38,	"ELOVL fatty acid elongase 5"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	60481	ELOVL5	KupfferCells
ENSG00000012779	ALOX5	 5-LOX,	"Arachidonate 5-lipoxygenase"	"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	240	ALOX5	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000013288	MAN2B2	 KIAA0935,	"Mannosidase alpha class 2B member 2"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	23324	MAN2B2	LiverMacrophage
ENSG00000013306	SLC25A39	 CGI-69, FLJ22407,	"Solute carrier family 25 member 39"	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	51629	SLC25A39	LiverMacrophage
ENSG00000013364	MVP	 LRP, VAULT1,	"Major vault protein"	"Cancer-related genes, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	9961	MVP	TopGeneInFirstStep,KupfferCells
ENSG00000013441	CLK1	 ,	"CDC like kinase 1"	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	1195	CLK1	LiverMacrophage,KupfferCells
ENSG00000013563	DNASE1L1	 DNAS1L1, DNASEX, DNL1L, XIB,	"Deoxyribonuclease 1 like 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	1774	DNASE1L1	LiverMacrophage
ENSG00000013583	HEBP1	 HBP, HEBP,	"Heme binding protein 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	50865	HEBP1	LiverMacrophage,KupfferCells
ENSG00000014216	CAPN1	 CANP, CANPL1, muCANP, muCL,	"Calpain 1"	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	823	CAPN1	KupfferCells
ENSG00000014641	MDH1	 ,	"Malate dehydrogenase 1"	"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4190	MDH1	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000015153	YAF2	 ,	"YY1 associated factor 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10138	YAF2	LiverMacrophage,KupfferCells
ENSG00000015285	WAS	 IMD2, THC, WASP, WASPA,	"WASP actin nucleation promoting factor"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7454	WAS	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000015475	BID	 ,	"BH3 interacting domain death agonist"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	637	BID	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000018189	RUFY3	 KIAA0871, RIPx, Singar1, ZFYVE30,	"RUN and FYVE domain containing 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	22902	RUFY3	LiverMacrophage
ENSG00000018280	SLC11A1	 LSH, NRAMP, NRAMP1,	"Solute carrier family 11 member 1"	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	6556	SLC11A1	CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000019169	MARCO	 SCARA2, SR-A6,	"Macrophage receptor with collagenous structure"	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	8685	MARCO	CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000019582	CD74	 DHLAG,	"CD74 molecule"	"Cancer-related genes, CD markers, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	972	CD74	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000019991	HGF	 DFNB39, F-TCF, HGFB, HPTA, SF,	"Hepatocyte growth factor"	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	3082	HGF	FunctionGene
ENSG00000020256	ZFP64	 dJ548G19.1, dJ831D17.1, FLJ10734, FLJ12628, ZNF338,	"ZFP64 zinc finger protein"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55734	ZFP64	TF
ENSG00000020633	RUNX3	 AML2, CBFA3, PEBP2A3,	"RUNX family transcription factor 3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	864	RUNX3	TF
ENSG00000021355	SERPINB1	 anti-elastase, EI, ELANH2, PI2,	"Serpin family B member 1"	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	1992	SERPINB1	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000023191	RNH1	 RAI, RNH,	"Ribonuclease/angiogenin inhibitor 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6050	RNH1	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000023287	RB1CC1	 ATG17, Cc1, DRAGOU14, FIP200, KIAA0203, PPP1R131,	"RB1 inducible coiled-coil 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9821	RB1CC1	LiverMacrophage,KupfferCells
ENSG00000023697	DERA	 CGI-26, DEOC,	"Deoxyribose-phosphate aldolase"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51071	DERA	LiverMacrophage
ENSG00000023902	PLEKHO1	 CKIP-1, OC120,	"Pleckstrin homology domain containing O1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51177	PLEKHO1	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000024862	CCDC28A	 C6orf80, CCRL1AP, DKFZp586D0623,	"Coiled-coil domain containing 28A"	"Predicted intracellular proteins"	"Evidence at transcript level"	"Evidence at transcript level"	25901	CCDC28A	TopGeneInFirstStep,LiverMacrophage
ENSG00000025156	HSF2	 ,	"Heat shock transcription factor 2"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	3298	HSF2	TF
ENSG00000025434	NR1H3	 LXR-a, LXRa, RLD-1,	"Nuclear receptor subfamily 1 group H member 3"	"Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	10062	NR1H3	CancerDExpr,TF,FunctionGene,LiverMacrophage
ENSG00000025708	TYMP	 ECGF1, MNGIE,	"Thymidine phosphorylase"	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1890	TYMP	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000025796	SEC63	 DNAJC23, ERdj2, PRO2507, SEC63L,	"SEC63 homolog, protein translocation regulator"	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	11231	SEC63	LiverMacrophage,KupfferCells
ENSG00000026025	VIM	 ,	Vimentin	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7431	VIM	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000026297	RNASET2	 bA514O12.3, FLJ10907, RNASE6PL,	"Ribonuclease T2"	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	8635	RNASET2	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000026508	CD44	 CD44R, CSPG8, HCELL, IN, MC56, MDU2, MDU3, MIC4, Pgp1,	"CD44 molecule (Indian blood group)"	"Blood group antigen proteins, Cancer-related genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	960	CD44	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000028137	TNFRSF1B	 CD120b, p75, TNF-R-II, TNF-R75, TNFBR, TNFR2, TNFR80,	"TNF receptor superfamily member 1B"	"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	7133	TNFRSF1B	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000028277	POU2F2	 OCT2, OTF2,	"POU class 2 homeobox 2"	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	5452	POU2F2	TF,LiverMacrophage,KupfferCells
ENSG00000029725	RABEP1	 neurocrescin, RAB5EP, rabaptin-5, RABPT5,	"Rabaptin, RAB GTPase binding effector protein 1"	"Cancer-related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9135	RABEP1	FunctionGene
ENSG00000032219	ARID4A	 RBBP1, RBP-1, RBP1,	"AT-rich interaction domain 4A"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	5926	ARID4A	LiverMacrophage,KupfferCells
ENSG00000032444	PNPLA6	 iPLA2delta, NTE, SPG39, sws,	"Patatin like phospholipase domain containing 6"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	10908	PNPLA6	LiverMacrophage,KupfferCells
ENSG00000033011	ALG1	 CDG1K, HMAT1, HMT-1, Mat-1,	"ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	56052	ALG1	TopGeneInFirstStep
ENSG00000033627	ATP6V0A1	 a1, ATP6N1, ATP6N1A, Stv1, Vph1, VPP1,	"ATPase H+ transporting V0 subunit a1"	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	535	ATP6V0A1	LiverMacrophage
ENSG00000033800	PIAS1	 DDXBP1, GBP, GU/RH-II, ZMIZ3,	"Protein inhibitor of activated STAT 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8554	PIAS1	LiverMacrophage,KupfferCells
ENSG00000035403	VCL	 ,	Vinculin	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7414	VCL	KupfferCells
ENSG00000035862	TIMP2	 CSC-21K,	"TIMP metallopeptidase inhibitor 2"	"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	7077	TIMP2	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000037241	RPL26L1	 RPL26P1,	"Ribosomal protein L26 like 1"	"Predicted intracellular proteins, Ribosomal proteins"	"Evidence at protein level"	"Evidence at protein level"	51121	RPL26L1	TopGeneInFirstStep
ENSG00000038274	MAT2B	 MATIIbeta, SDR23E1,	"Methionine adenosyltransferase 2B"	"Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	27430	MAT2B	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000038427	VCAN	 CSPG2, PG-M,	Versican	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	1462	VCAN	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000038945	MSR1	 CD204, SCARA1, SR-A, SR-AI, SR-AII, SR-AIII,	"Macrophage scavenger receptor 1"	"Cancer-related genes, CD markers, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	4481	MSR1	CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000039319	ZFYVE16	 KIAA0305, PPP1R69,	"Zinc finger FYVE-type containing 16"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9765	ZFYVE16	LiverMacrophage
ENSG00000040341	STAU2	 39K2,	"Staufen double-stranded RNA binding protein 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	27067	STAU2	KupfferCells
ENSG00000041988	THAP3	 ,	"THAP domain containing 3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	90326	THAP3	TF
ENSG00000042493	CAPG	 AFCP, MCP,	"Capping actin protein, gelsolin like"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	822	CAPG	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000043462	LCP2	 SLP-76, SLP76,	"Lymphocyte cytosolic protein 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3937	LCP2	CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
