Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	CD4 T-cellStep
ENSG00000016864	GLT8D1	 AD-017, FLJ14611,	"Glycosyltransferase 8 domain containing 1"	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	55830	GLT8D1	TopGeneInFirstStep
ENSG00000018869	ZNF582	 FLJ30927,	"Zinc finger protein 582"	"Predicted intracellular proteins, Transcription factors"	"Evidence at transcript level"	"Evidence at transcript level"	147948	ZNF582	TF
ENSG00000019582	CD74	 DHLAG,	"CD74 molecule"	"Cancer-related genes, CD markers, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	972	CD74	TopGeneInFirstStep,FunctionGene
ENSG00000020256	ZFP64	 dJ548G19.1, dJ831D17.1, FLJ10734, FLJ12628, ZNF338,	"ZFP64 zinc finger protein"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55734	ZFP64	TF
ENSG00000020633	RUNX3	 AML2, CBFA3, PEBP2A3,	"RUNX family transcription factor 3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	864	RUNX3	TF
ENSG00000021300	PLEKHB1	 KPL1, PHR1, PHRET1,	"Pleckstrin homology domain containing B1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	58473	PLEKHB1	TopGeneInFirstStep
ENSG00000021355	SERPINB1	 anti-elastase, EI, ELANH2, PI2,	"Serpin family B member 1"	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	1992	SERPINB1	TopGeneInFirstStep
ENSG00000023191	RNH1	 RAI, RNH,	"Ribonuclease/angiogenin inhibitor 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6050	RNH1	TopGeneInFirstStep
ENSG00000023445	BIRC3	 API2, c-IAP2, cIAP2, hiap-1, MALT2, MIHC, RNF49,	"Baculoviral IAP repeat containing 3"	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	330	BIRC3	TopGeneInFirstStep,CancerDExpr,TcellActVsNaive
ENSG00000023892	DEF6	 IBP, SLAT, SWAP70L,	"DEF6 guanine nucleotide exchange factor"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	50619	DEF6	TopGeneInFirstStep
ENSG00000024862	CCDC28A	 C6orf80, CCRL1AP, DKFZp586D0623,	"Coiled-coil domain containing 28A"	"Predicted intracellular proteins"	"Evidence at transcript level"	"Evidence at transcript level"	25901	CCDC28A	TopGeneInFirstStep
ENSG00000025156	HSF2	 ,	"Heat shock transcription factor 2"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	3298	HSF2	TopGeneInFirstStep,TF
ENSG00000025434	NR1H3	 LXR-a, LXRa, RLD-1,	"Nuclear receptor subfamily 1 group H member 3"	"Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	10062	NR1H3	TF,FunctionGene
ENSG00000025708	TYMP	 ECGF1, MNGIE,	"Thymidine phosphorylase"	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1890	TYMP	FunctionGene
ENSG00000026025	VIM	 ,	Vimentin	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7431	VIM	TopGeneInFirstStep,FunctionGene
ENSG00000026297	RNASET2	 bA514O12.3, FLJ10907, RNASE6PL,	"Ribonuclease T2"	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	8635	RNASET2	TopGeneInFirstStep
ENSG00000026508	CD44	 CD44R, CSPG8, HCELL, IN, MC56, MDU2, MDU3, MIC4, Pgp1,	"CD44 molecule (Indian blood group)"	"Blood group antigen proteins, Cancer-related genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	960	CD44	TopGeneInFirstStep
ENSG00000026950	BTN3A1	 BT3.1, BTF5, BTN3.1, CD277,	"Butyrophilin subfamily 3 member A1"	"CD markers, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	11119	BTN3A1	TopGeneInFirstStep
ENSG00000027075	PRKCH	 PKC-L, PKCL, PRKCL,	"Protein kinase C eta"	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	5583	PRKCH	TopGeneInFirstStep
ENSG00000027869	SH2D2A	 F2771, TSAd,	"SH2 domain containing 2A"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9047	SH2D2A	TcellActVsNaive
ENSG00000028137	TNFRSF1B	 CD120b, p75, TNF-R-II, TNF-R75, TNFBR, TNFR2, TNFR80,	"TNF receptor superfamily member 1B"	"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	7133	TNFRSF1B	FunctionGene,TcellActVsNaive
ENSG00000028277	POU2F2	 OCT2, OTF2,	"POU class 2 homeobox 2"	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	5452	POU2F2	TF
ENSG00000029725	RABEP1	 neurocrescin, RAB5EP, rabaptin-5, RABPT5,	"Rabaptin, RAB GTPase binding effector protein 1"	"Cancer-related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9135	RABEP1	TopGeneInFirstStep,FunctionGene
ENSG00000032219	ARID4A	 RBBP1, RBP-1, RBP1,	"AT-rich interaction domain 4A"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	5926	ARID4A	TopGeneInFirstStep
ENSG00000033011	ALG1	 CDG1K, HMAT1, HMT-1, Mat-1,	"ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	56052	ALG1	TopGeneInFirstStep
ENSG00000033800	PIAS1	 DDXBP1, GBP, GU/RH-II, ZMIZ3,	"Protein inhibitor of activated STAT 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8554	PIAS1	TopGeneInFirstStep
ENSG00000034533	ASTE1	 HT001,	"Asteroid homolog 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	28990	ASTE1	TopGeneInFirstStep
ENSG00000035115	SH3YL1	 DKFZP586F1318, Ray,	"SH3 and SYLF domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26751	SH3YL1	TopGeneInFirstStep
ENSG00000037241	RPL26L1	 RPL26P1,	"Ribosomal protein L26 like 1"	"Predicted intracellular proteins, Ribosomal proteins"	"Evidence at protein level"	"Evidence at protein level"	51121	RPL26L1	TopGeneInFirstStep
ENSG00000037474	NSUN2	 FLJ20303, Misu, MRT5, TRM4,	"NOP2/Sun RNA methyltransferase 2"	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	54888	NSUN2	TopGeneInFirstStep
ENSG00000037897	METTL1	 C12orf1, TRM8, TRMT8,	"Methyltransferase like 1"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4234	METTL1	TcellActVsNaive
ENSG00000038274	MAT2B	 MATIIbeta, SDR23E1,	"Methionine adenosyltransferase 2B"	"Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	27430	MAT2B	TopGeneInFirstStep
ENSG00000038945	MSR1	 CD204, SCARA1, SR-A, SR-AI, SR-AII, SR-AIII,	"Macrophage scavenger receptor 1"	"Cancer-related genes, CD markers, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	4481	MSR1	FunctionGene
ENSG00000041988	THAP3	 ,	"THAP domain containing 3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	90326	THAP3	TopGeneInFirstStep,TF
ENSG00000042088	TDP1	 FLJ11090, SCAN1,	"Tyrosyl-DNA phosphodiesterase 1"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55775	TDP1	TopGeneInFirstStep
ENSG00000042493	CAPG	 AFCP, MCP,	"Capping actin protein, gelsolin like"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	822	CAPG	TopGeneInFirstStep
ENSG00000043462	LCP2	 SLP-76, SLP76,	"Lymphocyte cytosolic protein 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3937	LCP2	TopGeneInFirstStep,FunctionGene
ENSG00000047634	SCML1	 ,	"Scm polycomb group protein like 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6322	SCML1	CancerDExpr
ENSG00000048405	ZNF800	 ,	"Zinc finger protein 800"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	168850	ZNF800	TF
ENSG00000048649	RSF1	 HBXAP, p325, RSF-1, XAP8,	"Remodeling and spacing factor 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51773	RSF1	TopGeneInFirstStep
ENSG00000048740	CELF2	 BRUNOL3, CUGBP2, Etr-3, NAPOR-2,	"CUGBP Elav-like family member 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10659	CELF2	TopGeneInFirstStep
ENSG00000049860	HEXB	 ,	"Hexosaminidase subunit beta"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3074	HEXB	TopGeneInFirstStep
ENSG00000050130	JKAMP	 C14orf100, CDA06, HSPC213, HSPC327, JAMP,	"JNK1/MAPK8 associated membrane protein"	"Cancer-related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	51528	JKAMP	TopGeneInFirstStep
ENSG00000051382	PIK3CB	 PIK3C1,	"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"	"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5291	PIK3CB	FunctionGene
ENSG00000051523	CYBA	 p22-PHOX,	"Cytochrome b-245 alpha chain"	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	1535	CYBA	TopGeneInFirstStep
ENSG00000051596	THOC3	 MGC5469, TEX1,	"THO complex 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84321	THOC3	TopGeneInFirstStep
ENSG00000053254	FOXN3	 C14orf116, CHES1,	"Forkhead box N3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	1112	FOXN3	TopGeneInFirstStep,TF
ENSG00000053770	AP5M1	 C14orf108, FLJ10813, mu5, MuD, MUDENG,	"Adaptor related protein complex 5 subunit mu 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	55745	AP5M1	TopGeneInFirstStep
ENSG00000054148	PHPT1	 bA216L13.10, CGI-202, DKFZp564M173, HSPC141, PHP14,	"Phosphohistidine phosphatase 1"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	29085	PHPT1	TopGeneInFirstStep
ENSG00000054267	ARID4B	 BCAA, BRCAA1, RBP1L1, SAP180,	"AT-rich interaction domain 4B"	"Metabolic proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	51742	ARID4B	TopGeneInFirstStep
ENSG00000054654	SYNE2	 DKFZP434H2235, KIAA1011, Nesp2, Nesprin-2, NUA, NUANCE, SYNE-2,	"Spectrin repeat containing nuclear envelope protein 2"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	23224	SYNE2	CancerDExpr
ENSG00000055070	SZRD1	 C1orf144, DKFZp566C0424,	"SUZ RNA binding domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	26099	SZRD1	TopGeneInFirstStep
ENSG00000055163	CYFIP2	 PIR121,	"Cytoplasmic FMR1 interacting protein 2"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26999	CYFIP2	TopGeneInFirstStep
ENSG00000056558	TRAF1	 EBI6,	"TNF receptor associated factor 1"	"Cancer-related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7185	TRAF1	TcellActVsNaive
ENSG00000057252	SOAT1	 ACAT, SOAT, STAT,	"Sterol O-acyltransferase 1"	"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	6646	SOAT1	TopGeneInFirstStep
ENSG00000057657	PRDM1	 BLIMP1, PRDI-BF1,	"PR/SET domain 1"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	639	PRDM1	TF
ENSG00000058272	PPP1R12A	 M130, MBS, MYPT1,	"Protein phosphatase 1 regulatory subunit 12A"	"Disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4659	PPP1R12A	TopGeneInFirstStep
ENSG00000059122	FLYWCH1	 DKFZp761A132,	"FLYWCH-type zinc finger 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84256	FLYWCH1	TF
ENSG00000059728	MXD1	 bHLHc58, MAD, MAD1,	"MAX dimerization protein 1"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4084	MXD1	TF
ENSG00000060762	MPC1	 BRP44L, CGI-129, dJ68L15.3, SLC54A1,	"Mitochondrial pyruvate carrier 1"	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	51660	MPC1	TopGeneInFirstStep
ENSG00000060971	ACAA1	 ,	"Acetyl-CoA acyltransferase 1"	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	30	ACAA1	TopGeneInFirstStep
ENSG00000062485	CS	 ,	"Citrate synthase"	"Citric acid cycle related proteins, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	1431	CS	TopGeneInFirstStep
ENSG00000062598	ELMO2	 CED-12, CED12, ELMO-2, FLJ11656, KIAA1834,	"Engulfment and cell motility 2"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	63916	ELMO2	TopGeneInFirstStep
ENSG00000063587	ZNF275	 ,	"Zinc finger protein 275"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	10838	ZNF275	TF
ENSG00000064012	CASP8	 Casp-8, FLICE, MACH, MCH5,	"Caspase 8"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	841	CASP8	TopGeneInFirstStep
