Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	CD8.T.cellStep	CD4.T.cellStep	macrophageStep
ENSG00000025156	HSF2	 ,	"Heat shock transcription factor 2"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	3298	HSF2	TopGeneInFirstStep,TF	TopGeneInFirstStep,TF	TF
ENSG00000025434	NR1H3	 LXR-a, LXRa, RLD-1,	"Nuclear receptor subfamily 1 group H member 3"	"Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	10062	NR1H3	TF,FunctionGene	TF,FunctionGene	CancerDExpr,TF,FunctionGene,LiverMacrophage
ENSG00000025708	TYMP	 ECGF1, MNGIE,	"Thymidine phosphorylase"	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1890	TYMP	FunctionGene	FunctionGene	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000026025	VIM	 ,	Vimentin	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7431	VIM	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000026297	RNASET2	 bA514O12.3, FLJ10907, RNASE6PL,	"Ribonuclease T2"	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	8635	RNASET2	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000026508	CD44	 CD44R, CSPG8, HCELL, IN, MC56, MDU2, MDU3, MIC4, Pgp1,	"CD44 molecule (Indian blood group)"	"Blood group antigen proteins, Cancer-related genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	960	CD44	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000028137	TNFRSF1B	 CD120b, p75, TNF-R-II, TNF-R75, TNFBR, TNFR2, TNFR80,	"TNF receptor superfamily member 1B"	"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	7133	TNFRSF1B	FunctionGene,TcellActVsNaive	FunctionGene,TcellActVsNaive	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000028277	POU2F2	 OCT2, OTF2,	"POU class 2 homeobox 2"	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	5452	POU2F2	TF	TF	TF,LiverMacrophage,KupfferCells
ENSG00000029725	RABEP1	 neurocrescin, RAB5EP, rabaptin-5, RABPT5,	"Rabaptin, RAB GTPase binding effector protein 1"	"Cancer-related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9135	RABEP1	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene	FunctionGene
ENSG00000032219	ARID4A	 RBBP1, RBP-1, RBP1,	"AT-rich interaction domain 4A"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	5926	ARID4A	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000033011	ALG1	 CDG1K, HMAT1, HMT-1, Mat-1,	"ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	56052	ALG1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep
ENSG00000037241	RPL26L1	 RPL26P1,	"Ribosomal protein L26 like 1"	"Predicted intracellular proteins, Ribosomal proteins"	"Evidence at protein level"	"Evidence at protein level"	51121	RPL26L1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep
ENSG00000038274	MAT2B	 MATIIbeta, SDR23E1,	"Methionine adenosyltransferase 2B"	"Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	27430	MAT2B	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000041988	THAP3	 ,	"THAP domain containing 3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	90326	THAP3	TopGeneInFirstStep,TF	TopGeneInFirstStep,TF	TF
ENSG00000043462	LCP2	 SLP-76, SLP76,	"Lymphocyte cytosolic protein 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3937	LCP2	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene	CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000048405	ZNF800	 ,	"Zinc finger protein 800"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	168850	ZNF800	TF	TF	TF
ENSG00000048649	RSF1	 HBXAP, p325, RSF-1, XAP8,	"Remodeling and spacing factor 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51773	RSF1	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000048740	CELF2	 BRUNOL3, CUGBP2, Etr-3, NAPOR-2,	"CUGBP Elav-like family member 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10659	CELF2	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000049860	HEXB	 ,	"Hexosaminidase subunit beta"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3074	HEXB	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000050130	JKAMP	 C14orf100, CDA06, HSPC213, HSPC327, JAMP,	"JNK1/MAPK8 associated membrane protein"	"Cancer-related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	51528	JKAMP	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage
ENSG00000051382	PIK3CB	 PIK3C1,	"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"	"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5291	PIK3CB	FunctionGene	FunctionGene	FunctionGene
ENSG00000051523	CYBA	 p22-PHOX,	"Cytochrome b-245 alpha chain"	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	1535	CYBA	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000053254	FOXN3	 C14orf116, CHES1,	"Forkhead box N3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	1112	FOXN3	TopGeneInFirstStep,TF	TopGeneInFirstStep,TF	TF,LiverMacrophage,KupfferCells
ENSG00000054148	PHPT1	 bA216L13.10, CGI-202, DKFZp564M173, HSPC141, PHP14,	"Phosphohistidine phosphatase 1"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	29085	PHPT1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000054267	ARID4B	 BCAA, BRCAA1, RBP1L1, SAP180,	"AT-rich interaction domain 4B"	"Metabolic proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	51742	ARID4B	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000055070	SZRD1	 C1orf144, DKFZp566C0424,	"SUZ RNA binding domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	26099	SZRD1	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000057252	SOAT1	 ACAT, SOAT, STAT,	"Sterol O-acyltransferase 1"	"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	6646	SOAT1	TopGeneInFirstStep	TopGeneInFirstStep	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000058272	PPP1R12A	 M130, MBS, MYPT1,	"Protein phosphatase 1 regulatory subunit 12A"	"Disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4659	PPP1R12A	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000059728	MXD1	 bHLHc58, MAD, MAD1,	"MAX dimerization protein 1"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4084	MXD1	TF	TF	CancerDExpr,TF,KupfferCells
ENSG00000060762	MPC1	 BRP44L, CGI-129, dJ68L15.3, SLC54A1,	"Mitochondrial pyruvate carrier 1"	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	51660	MPC1	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000060971	ACAA1	 ,	"Acetyl-CoA acyltransferase 1"	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	30	ACAA1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000062485	CS	 ,	"Citrate synthase"	"Citric acid cycle related proteins, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	1431	CS	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep
ENSG00000064601	CTSA	 GSL, PPGB,	"Cathepsin A"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5476	CTSA	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000064666	CNN2	 ,	"Calponin 2"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	1265	CNN2	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000065029	ZNF76	 D6S229E, Zfp523, ZNF523,	"Zinc finger protein 76"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7629	ZNF76	TF	TF	TF
ENSG00000065809	FAM107B	 C10orf45, FLJ45505, HITS, MGC11034,	"Family with sequence similarity 107 member B"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	83641	FAM107B	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000066422	ZBTB11	 ZNF-U69274, ZNF913,	"Zinc finger and BTB domain containing 11"	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	27107	ZBTB11	TF	TF	TF
ENSG00000067066	SP100	 ,	"SP100 nuclear antigen"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	6672	SP100	TopGeneInFirstStep,TF	TopGeneInFirstStep,TF	TopGeneInFirstStep,TF,LiverMacrophage,KupfferCells
ENSG00000067082	KLF6	 BCD1, COPEB, CPBP, GBF, PAC1, ST12, Zf9,	"Kruppel like factor 6"	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	1316	KLF6	TopGeneInFirstStep,CancerDExpr,TF	TopGeneInFirstStep,TF	TopGeneInFirstStep,CancerDExpr,TF,LiverMacrophage,KupfferCells
ENSG00000067182	TNFRSF1A	 CD120a, TNF-R, TNF-R-I, TNF-R55, TNFAR, TNFR1, TNFR60,	"TNF receptor superfamily member 1A"	"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	7132	TNFRSF1A	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000067646	ZFY	 ZNF911,	"Zinc finger protein Y-linked"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7544	ZFY	TF	TF	TF
ENSG00000068079	IFI35	 IFP35,	"Interferon induced protein 35"	"Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	3430	IFI35	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep
ENSG00000068366	ACSL4	 ACS4, FACL4, LACS4, MRX63, MRX68,	"Acyl-CoA synthetase long chain family member 4"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	2182	ACSL4	TcellActVsNaive	TcellActVsNaive	LiverMacrophage,KupfferCells
ENSG00000068831	RASGRP2	 CALDAG-GEFI,	"RAS guanyl releasing protein 2"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	10235	RASGRP2	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000069849	ATP1B3	 CD298, FLJ29027,	"ATPase Na+/K+ transporting subunit beta 3"	"CD markers, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	483	ATP1B3	TopGeneInFirstStep,TcellActVsNaive	TopGeneInFirstStep,TcellActVsNaive	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000069998	HDHD5	 CECR5,	"Haloacid dehalogenase like hydrolase domain containing 5"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	27440	HDHD5	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep
ENSG00000070081	NUCB2	 NEFA,	"Nucleobindin 2"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	4925	NUCB2	TopGeneInFirstStep	TopGeneInFirstStep	KupfferCells
ENSG00000071073	MGAT4A	 GnT-4a, GnT-Iva,	"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	11320	MGAT4A	TopGeneInFirstStep	TopGeneInFirstStep	CancerDExpr
ENSG00000071127	WDR1	 ,	"WD repeat domain 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9948	WDR1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
